datetime,open,high,low,close,volume,convexity_higher1^6^SMA|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smi_k_crossover0^70^21^EMA|smacd_start_increase^210^294&trailing_stop^34^3.5|trailing_stop^34^2.5,tsi_neutral^220^176^10.0^-10.0^SMA|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|mass_crossover1^220^88&aroon_diff_crossunder0^89|trailing_stop^34^2.5,smacd_increase^80^128|smi_k_higher_d^50^40^35&smi_k_crossover0^70^21^EMA|smacd_start_increase^210^294|tsi_crossover0^80^24^EMA|smi_d_crossover0^230^207^207^EMA&aroon_diff_crossunder0^109|trailing_stop^34^2.5,tsi_neutral^220^176^10.0^-10.0^SMA|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|ema_fast_crossover_slow^30^72&aroon_diff_crossunder0^89|trailing_stop^34^2.5,kc_neutral^35.0^14.0^2.5|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smi_k_crossover0^70^21^EMA|smacd_start_increase^210^294&trailing_stop^34^3.0|trailing_stop^34^2.5,tsi_neutral^220^176^10.0^-10.0^SMA|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|mass_crossover1^220^88&trailing_stop^34^3.5|trailing_stop^34^2.5,kc_neutral^35.0^14.0^2.5|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smi_k_crossover0^70^21^EMA|smacd_start_increase^210^294&aroon_diff_crossunder0^89|trailing_stop^34^2.5,tsi_neutral^220^176^10.0^-10.0^SMA|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|adx_crossunder_threshold^190.0^10.0&trailing_stop^34^3.5|trailing_stop^34^2.5,smacd_increase^80^128|smi_k_higher_d^50^40^35&smi_k_crossover0^70^21^EMA|smacd_start_increase^210^294|mass_crossover1^220^88|ema_fast_crossover_slow^30^72&aroon_diff_crossunder0^109|trailing_stop^34^2.5,smacd_increase^80^128|smi_k_higher_d^50^40^35&smi_k_crossover0^70^21^EMA|smacd_start_increase^210^294|mass_crossover1^220^88|tsi_crossover0^80^24^EMA&aroon_diff_crossunder0^109|trailing_stop^34^2.5,tsi_neutral^220^176^10.0^-10.0^SMA|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|smi_d_crossover0^230^207^207^EMA&trailing_stop^34^3.0|trailing_stop^34^2.5,tsi_neutral^220^176^10.0^-10.0^SMA|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|ema_fast_crossover_slow^30^72&trailing_stop^34^3.0|trailing_stop^34^2.5
2026-03-09 18:15:00,11.9625,11.965,11.955,11.9625,1321.0,1.0516261653402292,1.05112967765757,1.0652586466009528,1.0521328972806594,1.0487664075556489,1.0509153153853297,1.048980769827889,1.0517009071520538,1.0661250288768085,1.0652586466009528,1.0517009071520538,1.0519185350084193
2026-03-10 00:00:00,11.855,11.9125,11.7775,11.91,5374.0,1.0516261653402292,1.05112967765757,1.0652586466009528,1.0521328972806594,1.0487664075556489,1.0509153153853297,1.048980769827889,1.0517009071520538,1.0661250288768085,1.0652586466009528,1.0517009071520538,1.0519185350084193
2026-03-10 00:15:00,11.91,11.935,11.91,11.925,1178.0,1.0516261653402292,1.05112967765757,1.0652586466009528,1.0521328972806594,1.0487664075556489,1.0509153153853297,1.048980769827889,1.0517009071520538,1.0661250288768085,1.0652586466009528,1.0517009071520538,1.0519185350084193
2026-03-10 00:30:00,11.9275,11.935,11.8875,11.8925,540.0,1.0516261653402292,1.05112967765757,1.0652586466009528,1.0521328972806594,1.0487664075556489,1.0509153153853297,1.048980769827889,1.0517009071520538,1.0661250288768085,1.0652586466009528,1.0517009071520538,1.0519185350084193
2026-03-10 00:45:00,11.8875,11.9,11.8675,11.8925,810.0,1.0516261653402292,1.05112967765757,1.0652586466009528,1.0521328972806594,1.0487664075556489,1.0509153153853297,1.048980769827889,1.0517009071520538,1.0661250288768085,1.0652586466009528,1.0517009071520538,1.0519185350084193
2026-03-10 01:00:00,11.895,11.94,11.86,11.9225,2116.0,1.0516261653402292,1.05112967765757,1.0652586466009528,1.0521328972806594,1.0487664075556489,1.0509153153853297,1.048980769827889,1.0517009071520538,1.0661250288768085,1.0652586466009528,1.0517009071520538,1.0519185350084193
2026-03-10 01:15:00,11.9175,11.9625,11.905,11.93,1822.0,1.0516261653402292,1.05112967765757,1.0652586466009528,1.0521328972806594,1.0487664075556489,1.0509153153853297,1.048980769827889,1.0517009071520538,1.0661250288768085,1.0652586466009528,1.0517009071520538,1.0519185350084193
2026-03-10 01:30:00,11.9275,11.9275,11.8825,11.8975,302.0,1.0516261653402292,1.05112967765757,1.0652586466009528,1.0521328972806594,1.0487664075556489,1.0509153153853297,1.048980769827889,1.0517009071520538,1.0661250288768085,1.0652586466009528,1.0517009071520538,1.0519185350084193
2026-03-10 01:45:00,11.895,11.8975,11.8725,11.8775,814.0,1.0516261653402292,1.05112967765757,1.0652586466009528,1.0521328972806594,1.0487664075556489,1.0509153153853297,1.048980769827889,1.0517009071520538,1.0661250288768085,1.0652586466009528,1.0517009071520538,1.0519185350084193
2026-03-10 02:00:00,11.8825,11.9025,11.8825,11.9,309.0,1.0516261653402292,1.05112967765757,1.0652586466009528,1.0521328972806594,1.0487664075556489,1.0509153153853297,1.048980769827889,1.0517009071520538,1.0661250288768085,1.0652586466009528,1.0517009071520538,1.0519185350084193
