coin_name,inv0,cl_name,cl_canshu,is_run,cl_id,cl_index
SI2607,15min,stoch_d_overbought^200^120^60^50|skew_negative^25^EMA&smacd_histogram_start_increase^110^220^99|smi_d_crossover0^210^63^63^EMA&aroon_diff_crossunder0^89|trailing_stop^34^2.5,0,1,stoch_d_overbought^200^120^60^50|skew_negative^25^EMA&smacd_histogram_start_increase^110^220^99|smi_d_crossover0^210^63^63^EMA&aroon_diff_crossunder0^89|trailing_stop^34^2.5,stoch_d_overbought^200^120^60^50|skew_negative^25^EMA&smacd_histogram_start_increase^110^220^99|smi_d_crossover0^210^63^63^EMA&aroon_diff_crossunder0^89|trailing_stop^34^2.5
SI2607,15min,roc_higher0^18|stoch_d_overbought^200^120^60^50&smacd_histogram_start_increase^110^220^99|stoch_d_crossover50^210^84^105&aroon_diff_crossunder0^89|trailing_stop^34^2.5,0,1,roc_higher0^18|stoch_d_overbought^200^120^60^50&smacd_histogram_start_increase^110^220^99|stoch_d_crossover50^210^84^105&aroon_diff_crossunder0^89|trailing_stop^34^2.5,roc_higher0^18|stoch_d_overbought^200^120^60^50&smacd_histogram_start_increase^110^220^99|stoch_d_crossover50^210^84^105&aroon_diff_crossunder0^89|trailing_stop^34^2.5
SI2607,15min,stoch_d_overbought^200^120^60^50|rsi_neutral^250^55^45&smacd_histogram_start_increase^110^220^99|smi_d_crossover0^210^63^63^EMA&aroon_diff_crossunder0^89|trailing_stop^34^3.0,0,1,stoch_d_overbought^200^120^60^50|rsi_neutral^250^55^45&smacd_histogram_start_increase^110^220^99|smi_d_crossover0^210^63^63^EMA&aroon_diff_crossunder0^89|trailing_stop^34^3.0,stoch_d_overbought^200^120^60^50|rsi_neutral^250^55^45&smacd_histogram_start_increase^110^220^99|smi_d_crossover0^210^63^63^EMA&aroon_diff_crossunder0^89|trailing_stop^34^3.0
SI2607,15min,stoch_d_overbought^200^120^60^50|kdj_d_overbought^130^117^39^50&smacd_histogram_start_increase^110^220^99|smi_d_crossover0^210^63^63^EMA&aroon_diff_crossunder0^109|trailing_stop^34^3.0,0,1,stoch_d_overbought^200^120^60^50|kdj_d_overbought^130^117^39^50&smacd_histogram_start_increase^110^220^99|smi_d_crossover0^210^63^63^EMA&aroon_diff_crossunder0^109|trailing_stop^34^3.0,stoch_d_overbought^200^120^60^50|kdj_d_overbought^130^117^39^50&smacd_histogram_start_increase^110^220^99|smi_d_crossover0^210^63^63^EMA&aroon_diff_crossunder0^109|trailing_stop^34^3.0
SI2607,15min,stoch_d_overbought^200^120^60^50|skew_negative^25^EMA&smacd_histogram_start_increase^110^220^99|smi_k_crossover0^190^95^SMA&aroon_diff_crossunder0^109|trailing_stop^34^2.5,0,1,stoch_d_overbought^200^120^60^50|skew_negative^25^EMA&smacd_histogram_start_increase^110^220^99|smi_k_crossover0^190^95^SMA&aroon_diff_crossunder0^109|trailing_stop^34^2.5,stoch_d_overbought^200^120^60^50|skew_negative^25^EMA&smacd_histogram_start_increase^110^220^99|smi_k_crossover0^190^95^SMA&aroon_diff_crossunder0^109|trailing_stop^34^2.5
SI2607,15min,stoch_d_overbought^200^120^60^50|convexity_higher1^6^SMA&sma_fast_crossover_slow_3^170^272|smi_k_crossover0^190^95^SMA&aroon_diff_crossunder0^89|trailing_stop^34^3.0,0,1,stoch_d_overbought^200^120^60^50|convexity_higher1^6^SMA&sma_fast_crossover_slow_3^170^272|smi_k_crossover0^190^95^SMA&aroon_diff_crossunder0^89|trailing_stop^34^3.0,stoch_d_overbought^200^120^60^50|convexity_higher1^6^SMA&sma_fast_crossover_slow_3^170^272|smi_k_crossover0^190^95^SMA&aroon_diff_crossunder0^89|trailing_stop^34^3.0
SI2607,15min,stoch_d_overbought^200^120^60^50|rsi_neutral^250^55^45&smacd_histogram_start_increase^110^220^99|smi_k_crossover0^210^105^EMA&aroon_diff_crossunder0^109|trailing_stop^34^2.5,0,1,stoch_d_overbought^200^120^60^50|rsi_neutral^250^55^45&smacd_histogram_start_increase^110^220^99|smi_k_crossover0^210^105^EMA&aroon_diff_crossunder0^109|trailing_stop^34^2.5,stoch_d_overbought^200^120^60^50|rsi_neutral^250^55^45&smacd_histogram_start_increase^110^220^99|smi_k_crossover0^210^105^EMA&aroon_diff_crossunder0^109|trailing_stop^34^2.5
SI2607,15min,stoch_d_overbought^200^120^60^50|rsi_neutral^250^55^45&smacd_histogram_start_increase^110^220^99|stoch_d_crossover50^200^140^60&aroon_diff_crossunder0^59|trailing_stop^34^2.5,0,1,stoch_d_overbought^200^120^60^50|rsi_neutral^250^55^45&smacd_histogram_start_increase^110^220^99|stoch_d_crossover50^200^140^60&aroon_diff_crossunder0^59|trailing_stop^34^2.5,stoch_d_overbought^200^120^60^50|rsi_neutral^250^55^45&smacd_histogram_start_increase^110^220^99|stoch_d_crossover50^200^140^60&aroon_diff_crossunder0^59|trailing_stop^34^2.5
SI2607,15min,stoch_d_overbought^200^120^60^50|skew_negative^25^EMA&smacd_histogram_start_increase^110^220^99|smi_d_crossover0^210^63^63^EMA&trailing_stop^34^2.5|trailing_stop^34^3.5,0,1,stoch_d_overbought^200^120^60^50|skew_negative^25^EMA&smacd_histogram_start_increase^110^220^99|smi_d_crossover0^210^63^63^EMA&trailing_stop^34^2.5|trailing_stop^34^3.5,stoch_d_overbought^200^120^60^50|skew_negative^25^EMA&smacd_histogram_start_increase^110^220^99|smi_d_crossover0^210^63^63^EMA&trailing_stop^34^2.5|trailing_stop^34^3.5
HG2607,15min,kdj_d_neutral^11^4^8^70^30|mass_higher1^150^60&emacd_start_increase^120^288|sma_fast_crossover_slow^130^364&trailing_stop^34^3.0|trailing_stop^34^3.5,0,1,kdj_d_neutral^11^4^8^70^30|mass_higher1^150^60&emacd_start_increase^120^288|sma_fast_crossover_slow^130^364&trailing_stop^34^3.0|trailing_stop^34^3.5,kdj_d_neutral^11^4^8^70^30|mass_higher1^150^60&emacd_start_increase^120^288|sma_fast_crossover_slow^130^364&trailing_stop^34^3.0|trailing_stop^34^3.5
HG2607,15min,sma_fast_higher_slow^6^11|kdj_k_neutral^8^2^85^15&stoch_k_crossover_d^170^68^51|rvi_signal_crossover0^30^24^EMA&trailing_stop^34^3.0|trailing_stop^34^3.5,0,1,sma_fast_higher_slow^6^11|kdj_k_neutral^8^2^85^15&stoch_k_crossover_d^170^68^51|rvi_signal_crossover0^30^24^EMA&trailing_stop^34^3.0|trailing_stop^34^3.5,sma_fast_higher_slow^6^11|kdj_k_neutral^8^2^85^15&stoch_k_crossover_d^170^68^51|rvi_signal_crossover0^30^24^EMA&trailing_stop^34^3.0|trailing_stop^34^3.5
HG2607,15min,rvi_signal_overbought^26^13^0.0^EMA|kdj_k_neutral^8^2^85^15&rvi_signal_crossover0^30^24^EMA|smi_k_crossover_d_2^60^48^42^15&aroon_diff_crossunder0^89|trailing_stop^34^3.0,0,1,rvi_signal_overbought^26^13^0.0^EMA|kdj_k_neutral^8^2^85^15&rvi_signal_crossover0^30^24^EMA|smi_k_crossover_d_2^60^48^42^15&aroon_diff_crossunder0^89|trailing_stop^34^3.0,rvi_signal_overbought^26^13^0.0^EMA|kdj_k_neutral^8^2^85^15&rvi_signal_crossover0^30^24^EMA|smi_k_crossover_d_2^60^48^42^15&aroon_diff_crossunder0^89|trailing_stop^34^3.0
HG2607,15min,kdj_d_neutral^11^4^8^70^30|mass_higher1^150^60&emacd_start_increase^120^288|smacd_crossover_signal_2^190^380^190&trailing_stop^34^3.0|trailing_stop^34^3.5,0,1,kdj_d_neutral^11^4^8^70^30|mass_higher1^150^60&emacd_start_increase^120^288|smacd_crossover_signal_2^190^380^190&trailing_stop^34^3.0|trailing_stop^34^3.5,kdj_d_neutral^11^4^8^70^30|mass_higher1^150^60&emacd_start_increase^120^288|smacd_crossover_signal_2^190^380^190&trailing_stop^34^3.0|trailing_stop^34^3.5
